,lats,lons,elevation,pace,hr
63,-121.39237352142172,47.39066817292466,2546.8400638152134,6.011360552015006,173.82027480429048
64,-121.39239235772679,47.39070552561368,2547.02599873916,6.01155995822278,174.06940064639218
65,-121.39241119340706,47.390742877063694,2547.21192749556,6.011836409747973,174.30507305040047
66,-121.39243002822118,47.39078022679612,2547.3978477021114,6.012189368154363,174.52752838781447
67,-121.39244886192957,47.39081757433584,2547.5837569938203,6.01261830061587,174.73700303013337
68,-121.39246682418087,47.390855219446266,2547.8119698193505,6.013122679779658,174.9337333488564
69,-121.39248139836239,47.390894029941805,2548.2048644310617,6.013701983631226,175.11795571548276
70,-121.39249597113998,47.39093283669871,2548.597721194978,6.014355695361409,175.2899065015116
71,-121.39251054233362,47.390971639237634,2548.990535258547,6.015083303235249,175.44982207844217
72,-121.39252511176468,47.39101043708285,2549.3833018057994,6.015884300462685,175.59793881777358
